Sample,Shannon,Simpson
SL_2,3.309389039,0.945408757
SL_5,3.201016958,0.942467888
SL_8,3.13123972,0.929968898
SL_11,3.216228937,0.939898994
SL_14,3.087333276,0.929723418
SL_17,3.040487365,0.933510922
SL_23,3.200223472,0.938091087
SL_26,3.152973492,0.933969549
SL_29,3.105592903,0.930716504
SL_32,2.967938727,0.921330197
SL_35,2.975144826,0.920354797
SL_38,2.88163843,0.924629499
SL_41,2.829644,0.913595839
SL_44,2.839619186,0.914721835
SL_47,2.996868709,0.924736854
SL_50,2.894594013,0.918471604
SL_53,2.719616053,0.912076405
SL_56,2.463900067,0.884653048
SL_59,2.738475631,0.908158525
SL_62,3.021900649,0.921226859
SL_65,2.857470714,0.915380039
SL_68,2.879705226,0.918299731
SL_71,1.907574173,0.828306871
SL_74,2.270838371,0.867498327
SL_77,1.968284855,0.842009689
SL_80,1.842746121,0.825078911
SL_83,1.261229723,0.688641573
BL3_5,3.228934606,0.946888511
BL3_8,3.278525336,0.944974525
BL3_11,3.167705593,0.937362332
BL3_14,3.118580158,0.928935443
BL3_17,3.34541952,0.939317448
BL3_20,3.344589781,0.93871939
BL3_23,3.276108809,0.940392439
BL3_26,3.172383032,0.936007884
BL3_29,3.23060997,0.941179553
BL3_32,2.915217223,0.927980474
BL3_35,3.18119686,0.935003288
BL3_38,3.171573413,0.930267793
BL3_41,3.155543609,0.924356519
BL3_44,3.125214386,0.924699106
BL3_47,3.206963917,0.941042021
BL3_50,3.254272551,0.943097533
LCL4A_6-9,2.492486089,0.886508984
LCL4A_12-15,2.181248247,0.870166568
LCL4A_15-18,2.416596356,0.887771037
LCL4A_27-30,2.247766424,0.868735846
LCL4A_30-33,2.2015357,0.8565676
LCL4A_33-36,2.157323245,0.848644232
