RT,Compound,Category,LCL4_6,LCL4_12,LCL4_15,LCL4_27,LCL4_30,LCL4_33
28.99,n-C22:0,Short_Saturated_Alkane,0,0,0.041270558,0,0,0
29.02,n-C22:0,Short_Saturated_Alkane,0,0.032876103,0,0,0,0
30.42,n-C23:0,Short_Saturated_Alkane,0,0,0.071390732,0,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0.038058809,0,0,0,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0,0.050824417,0,0,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0,0,0,0.04501685,0,0
30.43,n-C23:0,Short_Saturated_Alkane,0,0,0,0,0.049028169,0
30.45,n-C23:0,Short_Saturated_Alkane,0,0,0,0,0,0.034888564
31.79,n-C24:0,Short_Saturated_Alkane,0.051630887,0,0,0,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0.044476788,0,0,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0,0.056815799,0,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0,0,0.045520579,0,0
31.79,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0.033772688,0
31.8,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0,0.019534659
31.91,n-C24:0,Short_Saturated_Alkane,0,0,0.069511749,0,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0.028103741,0,0,0,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0.037863343,0,0,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0,0,0.057982004,0,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0.035577695,0
31.92,n-C24:0,Short_Saturated_Alkane,0,0,0,0,0,0.021085781
33.1,n-C25:0,Short_Saturated_Alkane,0,0,0,0.15107165,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0.143448657,0,0,0,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0,0.143535725,0,0,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0,0,0.190350419,0,0,0
33.11,n-C25:0,Short_Saturated_Alkane,0,0,0,0,0.133227795,0
33.13,n-C25:0,Short_Saturated_Alkane,0,0,0,0,0,0.057032196
33.92,n-C25:0,Short_Saturated_Alkane,0,0.030541589,0,0,0,0
33.94,n-C25:0,Short_Saturated_Alkane,0,0,0.036888613,0,0,0
34.05,br-C26:0,Branched_Alkane,0.04152555,0,0,0,0,0
34.05,br-C26:0,Branched_Alkane,0,0,0.091594902,0,0,0
34.05,br-C26:0,Branched_Alkane,0,0,0,0.06805059,0,0
34.05,br-C26:0,Branched_Alkane,0,0,0,0,0.061099956,0
34.06,br-C26:0,Branched_Alkane,0,0.039693738,0,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0.031568185,0,0,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0.0280758,0,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0,0.031309949,0,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0,0,0.035811311,0,0
34.38,n-C28:0,Short_Saturated_Alkane,0,0,0,0,0.030512707,0
34.5,n-C29:0,Short_Saturated_Alkane,0,0.042991163,0,0,0,0
34.5,n-C29:0,Short_Saturated_Alkane,0,0,0,0.081533349,0,0
34.5,n-C29:0,Short_Saturated_Alkane,0,0,0,0,0.050460557,0
34.51,n-C29:0,Short_Saturated_Alkane,0.040213989,0,0,0,0,0
34.51,n-C29:0,Short_Saturated_Alkane,0,0,0.071525407,0,0,0
35.6,n-C31:0,Short_Saturated_Alkane,0,0,0.120890755,0,0,0
35.61,n-C31:0,Short_Saturated_Alkane,0.114757287,0,0,0,0,0
35.61,n-C31:0,Short_Saturated_Alkane,0,0.10116284,0,0,0,0
35.61,n-C31:0,Short_Saturated_Alkane,0,0,0,0.122337465,0,0
35.61,n-C31:0,Short_Saturated_Alkane,0,0,0,0,0.121975183,0
35.62,n-C31:0,Short_Saturated_Alkane,0,0,0,0,0,0.048916771
